geoid,2015,2016,2017,2018
36067000100,0,0,0,0.1
36067000200,0.158,0.14103,0.09434,0.11199999999999999
36067000300,0,0.10345,0.08333,0.125
36067000400,0.09300000000000001,0.075,0.03175,0.078
36067000501,0.152,0.19728,0.16399999999999998,0.08800000000000001
36067000600,0.154,0.16867000000000001,0.11069000000000001,0.174
36067000700,0.037000000000000005,0.21428999999999998,0.17593,0.153
36067000800,0.212,0.17054,0.17873999999999998,0.157
36067000900,0.033,0.03571,0.01587,0.066
36067001000,0.048,0.0202,0.018349999999999998,0.026000000000000002
36067001400,0.213,0.18231999999999998,0.17134,0.201
36067001500,0.265,0.21088,0.16236,0.20199999999999999
36067001600,0.055,0.06,0.07017999999999999,0.045
36067001701,0.138,0.10577,0.12414,0.077
36067001702,0.125,0.05556,0.06098,0.055999999999999994
36067001800,0.015,0.042859999999999995,0.07692,0.043
36067001900,0.037000000000000005,0.014490000000000001,0.08421,0.022000000000000002
36067002000,0.159,0.1125,0.06024,0.052000000000000005
36067002101,0.158,0.15179,0.11207,0.153
36067002300,0.253,0.21917999999999999,0.23636,0.217
36067002400,0.253,0.11392,0.06667,0.149
36067002700,0.052000000000000005,0.048780000000000004,0.10204,0.08
36067002901,0.12300000000000001,0.08196999999999999,0.08333,0.069
36067003000,0.075,0.11111,0.09677,0.079
36067003200,0.11599999999999999,0.02273,0.06897,0.027000000000000003
36067003400,0.10300000000000001,0,0.030299999999999997,0
36067003500,0.059000000000000004,0.07143,0.07,0.061
36067003601,0.086,0.07143,0.09016,0.07400000000000001
36067003602,0.04,0.06557,0.08434,0.11699999999999999
36067003800,0.151,0.21367999999999998,0.17742000000000002,0.214
36067003900,0.251,0.20321,0.18095,0.165
36067004000,0.205,0.17284,0.09090999999999999,0.083
36067004200,0.052000000000000005,0.03352,0.037040000000000003,0.012
36067004301,0,0,0.03448,0
36067004302,0,0,0,0
36067004400,0,0.25,0,0
36067004500,0,0.07273,0.04348,0.019
36067004600,0.023,0.09195,0.04505,0.059000000000000004
36067004800,0,0.03125,0,0
36067004900,0.14800000000000002,0.10869999999999999,0.07692,0.128
36067005000,0.193,0.11765,0.02564,0.042
36067005100,0.17800000000000002,0.17308,0.17708,0.20600000000000002
36067005200,0.188,0.15238,0.24489999999999998,0.19399999999999998
36067005300,0.157,0.17117000000000002,0.2,0.07
36067005400,0.23399999999999999,0.22481,0.34932,0.243
36067005500,0.018000000000000002,0.03226,0.01149,0.02
36067005601,0.055999999999999994,0.05,0.025,0
36067005602,0,0,0,0
36067005700,0.16899999999999998,0.17308,0.042249999999999996,0.152
36067005800,0.237,0.18584,0.2,0.162
36067005900,0.29,0.16471,0.15789,0.096
36067006000,0.135,0.07767,0.02941,0.053
36067006101,0.121,0.08791,0.058390000000000004,0.106
36067006102,0.040999999999999995,0.03846,0.023809999999999998,0.071
36067006103,0.154,0.02703,0.025,0.023
